date,open,high,low,close,volume,average,barCount
2024-02-21 11:00:00-06:00,5042.0,5042.75,5028.25,5038.0,-1.0,-1.0,-1
2024-02-21 12:00:00-06:00,5038.0,5039.75,5026.25,5035.75,-1.0,-1.0,-1
2024-02-21 13:00:00-06:00,5035.75,5043.5,5021.25,5028.0,-1.0,-1.0,-1
2024-02-21 14:00:00-06:00,5028.0,5056.75,5017.5,5054.25,-1.0,-1.0,-1
2024-02-21 15:00:00-06:00,5054.25,5079.5,5031.75,5078.5,-1.0,-1.0,-1
2024-02-22 08:30:00-06:00,5122.25,5136.5,5112.0,5131.0,-1.0,-1.0,-1
2024-02-22 09:00:00-06:00,5131.0,5139.5,5127.75,5130.0,-1.0,-1.0,-1
2024-02-22 10:00:00-06:00,5130.0,5141.75,5127.75,5135.25,-1.0,-1.0,-1
2024-02-22 11:00:00-06:00,5135.25,5148.0,5131.75,5147.75,-1.0,-1.0,-1
2024-02-22 12:00:00-06:00,5147.75,5156.0,5143.5,5156.0,-1.0,-1.0,-1
2024-02-22 13:00:00-06:00,5156.0,5168.5,5152.5,5155.75,-1.0,-1.0,-1
2024-02-22 14:00:00-06:00,5155.75,5166.75,5154.5,5158.25,-1.0,-1.0,-1
2024-02-22 15:00:00-06:00,5158.25,5158.25,5152.75,5154.5,-1.0,-1.0,-1
2024-02-23 08:30:00-06:00,5175.75,5184.5,5174.0,5180.5,-1.0,-1.0,-1
2024-02-23 09:00:00-06:00,5180.5,5182.5,5167.0,5170.0,-1.0,-1.0,-1
2024-02-23 10:00:00-06:00,5170.0,5171.0,5153.5,5167.5,-1.0,-1.0,-1
2024-02-23 11:00:00-06:00,5167.5,5172.75,5160.5,5169.0,-1.0,-1.0,-1
2024-02-23 12:00:00-06:00,5169.0,5173.25,5166.0,5168.0,-1.0,-1.0,-1
2024-02-23 13:00:00-06:00,5168.0,5168.75,5158.75,5166.0,-1.0,-1.0,-1
2024-02-23 14:00:00-06:00,5166.0,5170.25,5159.75,5160.75,-1.0,-1.0,-1
2024-02-23 15:00:00-06:00,5160.75,5161.0,5155.5,5156.5,-1.0,-1.0,-1
2024-02-26 08:30:00-06:00,5164.75,5169.25,5159.0,5162.5,-1.0,-1.0,-1
2024-02-26 09:00:00-06:00,5162.5,5167.0,5155.5,5156.5,-1.0,-1.0,-1
2024-02-26 10:00:00-06:00,5156.5,5160.5,5151.75,5158.75,-1.0,-1.0,-1
2024-02-26 11:00:00-06:00,5158.75,5160.75,5153.0,5154.75,-1.0,-1.0,-1
2024-02-26 12:00:00-06:00,5154.75,5157.75,5141.75,5150.25,-1.0,-1.0,-1
2024-02-26 13:00:00-06:00,5150.25,5155.5,5146.5,5149.0,-1.0,-1.0,-1
2024-02-26 14:00:00-06:00,5149.0,5154.75,5139.75,5141.25,-1.0,-1.0,-1
2024-02-26 15:00:00-06:00,5141.25,5141.5,5137.25,5138.25,-1.0,-1.0,-1
2024-02-27 08:30:00-06:00,5147.5,5148.0,5135.75,5140.0,-1.0,-1.0,-1
2024-02-27 09:00:00-06:00,5140.0,5146.5,5136.25,5141.75,-1.0,-1.0,-1
2024-02-27 10:00:00-06:00,5141.75,5142.25,5135.0,5139.5,-1.0,-1.0,-1
2024-02-27 11:00:00-06:00,5139.5,5140.5,5130.25,5131.0,-1.0,-1.0,-1
